12:59:17.897 INFO  [main] - Starting CoinBotApplication using Java 17.0.7 with PID 5616 (/Users/ansarismagilov/Desktop/CODE/My Projects/CoinBot/target/classes started by ansarismagilov in /Users/ansarismagilov/Desktop/CODE/My Projects/CoinBot)
13:45:11.684 INFO  [main] - ADDED: id=6758 SushiSwap SUSHI
13:45:11.684 INFO  [main] - ADDED: id=3945 Harmony ONE
13:45:11.684 INFO  [main] - ADDED: id=4006 STP STPT
13:45:11.684 INFO  [main] - ADDED: id=12999 ssv.network SSV
13:45:11.684 INFO  [main] - ADDED: id=3801 BORA BORA
13:45:11.684 INFO  [main] - ADDED: id=20362 Polymesh POLYX
13:45:11.685 INFO  [main] - ADDED: id=12220 Osmosis OSMO
13:45:11.685 INFO  [main] - ADDED: id=109 DigiByte DGB
13:45:11.685 INFO  [main] - ADDED: id=1698 Horizen ZEN
13:45:11.685 INFO  [main] - ADDED: id=4948 Nervos Network CKB
13:45:11.685 INFO  [main] - ADDED: id=6748 Centrifuge CFG
13:45:11.685 INFO  [main] - ADDED: id=9444 Kyber Network Crystal v2 KNC
13:45:11.685 INFO  [main] - ADDED: id=7129 TerraClassicUSD USTC
13:45:11.685 INFO  [main] - ADDED: id=5647 Kadena KDA
13:45:11.685 INFO  [main] - ADDED: id=14783 MAGIC MAGIC
13:45:11.685 INFO  [main] - ADDED: id=1214 Lisk LSK
13:45:11.685 INFO  [main] - ADDED: id=3029 Flux FLUX
13:45:11.686 INFO  [main] - ADDED: id=5617 UMA UMA
13:45:11.686 INFO  [main] - ADDED: id=5691 SKALE SKL
13:45:11.686 INFO  [main] - ADDED: id=1759 Status SNT
13:45:11.686 INFO  [main] - ADDED: id=11877 Galxe GAL
13:45:11.686 INFO  [main] - ADDED: id=1343 Stratis STRAX
13:45:11.686 INFO  [main] - ADDED: id=2132 Powerledger POWR
13:45:11.686 INFO  [main] - ADDED: id=5444 Cartesi CTSI
13:45:11.686 INFO  [main] - ADDED: id=1320 Ardor ARDR
13:45:11.686 INFO  [main] - ADDED: id=12387 Ribbon Finance RBN
13:45:11.686 INFO  [main] - ADDED: id=9040 Pundi X (New) PUNDIX
13:45:11.686 INFO  [main] - ADDED: id=7878 MobileCoin MOB
13:45:11.687 INFO  [main] - ADDED: id=3814 Celer Network CELR
13:45:11.687 INFO  [main] - ADDED: id=8085 Lido Staked ETH stETH
13:45:11.687 INFO  [main] - ADDED: id=18579 Wrapped TRON WTRX
13:45:11.687 INFO  [main] - ADDED: id=24165 Wrapped Kava WKAVA
13:45:11.687 INFO  [main] - ADDED: id=4023 Bitcoin BEP2 BTCB
13:45:11.687 INFO  [main] - ADDED: id=24399 Wrapped HBAR WHBAR
13:45:11.687 INFO  [main] - ADDED: id=24913 Wrapped EOS WEOS
13:45:11.687 INFO  [main] - ADDED: id=2454 UnlimitedIP UIP
13:45:11.687 INFO  [main] - ADDED: id=24760 Wrapped Beacon ETH WBETH
13:45:11.687 INFO  [main] - ADDED: id=5455 Trexcoin TREX
13:45:11.687 INFO  [main] - ADDED: id=20396 Kaspa KAS
13:45:11.687 INFO  [main] - ADDED: id=5015 HEX HEX
13:45:11.687 INFO  [main] - ADDED: id=6952 Frax FRAX
13:45:11.688 INFO  [main] - ADDED: id=5524 TNC Coin TNC
13:45:11.688 INFO  [main] - ADDED: id=15271 Rollbit Coin RLB
13:45:11.688 INFO  [main] - ADDED: id=7192 Wrapped BNB WBNB
13:45:11.688 INFO  [main] - ADDED: id=26081 First Digital USD FDUSD
13:45:11.688 INFO  [main] - ADDED: id=11948 Radix XRD
