16:38:09.276 INFO  [main] c.kabgig.CoinBot.CoinBotApplication - Starting CoinBotApplication using Java 17.0.7 with PID 97581 (/Users/ansarismagilov/Desktop/CODE/My Projects/CoinBot/target/classes started by ansarismagilov in /Users/ansarismagilov/Desktop/CODE/My Projects/CoinBot)
17:06:03.140 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=2694 Nexo NEXO
17:06:03.140 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=7501 WOO Network WOO
17:06:03.140 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=2469 Zilliqa ZIL
17:06:03.140 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=131 Dash DASH
17:06:03.141 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=8119 SafePal SFP
17:06:03.141 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=8104 1inch Network 1INCH
17:06:03.141 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=7653 Oasis Network ROSE
17:06:03.141 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=4041 MX TOKEN MX
17:06:03.141 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=1697 Basic Attention Token BAT
17:06:03.141 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=5632 Arweave AR
17:06:03.141 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=24478 Pepe PEPE
17:06:03.141 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=1659 Gnosis GNO
17:06:03.141 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=7186 PancakeSwap CAKE
17:06:03.141 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=873 NEM XEM
17:06:03.142 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=2083 Bitcoin Gold BTG
17:06:03.142 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=7950 Flare FLR
17:06:03.142 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=2299 aelf ELF
17:06:03.142 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=2682 Holo HOT
17:06:03.142 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=1684 Qtum QTUM
17:06:03.142 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=3306 Gemini Dollar GUSD
17:06:03.142 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=1934 Loopring LRC
17:06:03.142 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=5567 Celo CELO
17:06:03.142 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=12885 Astar ASTR
17:06:03.142 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=5665 Helium HNT
17:06:03.143 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=2130 Enjin Coin ENJ
17:06:03.143 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=5488 JUST JST
17:06:03.143 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=9903 Convex Finance CVX
17:06:03.143 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=3822 Theta Fuel TFUEL
17:06:03.143 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=13855 Ethereum Name Service ENS
17:06:03.143 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=8536 Mask Network MASK
17:06:03.143 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=2300 WAX WAXP
17:06:03.143 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=4679 Band Protocol BAND
17:06:03.143 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=13502 Worldcoin WLD
17:06:03.144 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=2424 SingularityNET AGIX
17:06:03.144 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=3783 Ankr ANKR
17:06:03.144 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=9258 Chia XCH
17:06:03.144 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=1455 Golem GLM
17:06:03.144 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=23121 Blur BLUR
17:06:03.144 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=1168 Decred DCR
17:06:03.144 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=17751 Threshold T
17:06:03.145 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=1896 0x Protocol ZRX
17:06:03.145 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=1680 Aragon ANT
17:06:03.145 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=18069 STEPN GMT
17:06:03.145 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=2577 Ravencoin RVN
17:06:03.145 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=23149 Sei SEI
17:06:03.145 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=7431 Akash Network AKT
17:06:03.145 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=10804 FLOKI FLOKI
17:06:03.145 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=2777 IoTeX IOTX
17:06:03.145 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=11865 Bone ShibaSwap BONE
17:06:03.145 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=2099 ICON ICX
17:06:03.145 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=5864 yearn.finance YFI
17:06:03.146 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=13523 Merit Circle MC
17:06:03.146 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=3773 Fetch.ai FET
